id, linesA, linesB, item
1, "Pani Izabela, mam nadzieję, że pan zrozumiał moje intencje.", "Pani Izabela's fan", "A fan of Pani Izabela"
2, "Jak pan śmie krytykować moją osobę? Przecież jestem wybitnym człowiekiem.", "A book of poetry", "A poetry collection"
3, "To co pan mówi, jest jedynie powierzchowną oceną moich zamiarów.", "A letter from Wokulski", "A letter"
4, "Człowiek musi walczyć z własnym losem, bo inaczej umrze bez honoru.", "A glass of wine", "A glass of wine"
5, "Nie wiem, co pan ma na myśli, ale muszę przyznać, że się zgadzam.", "A box of cigars", "A box of cigars"
6, "Wszystko to jest tylko fikcja! Jak mam żyć w takim świecie?", "A broken watch", "A broken watch"
7, "Panie Wokulski, pana zamiary są szlachetne, ale niestety skazane na porażkę.", "A silver pen", "A silver pen"
8, "Zrozumiałem, że nie jestem w stanie pomóc w tej sprawie, ale będę starał się mimo wszystko.", "A gold pocket watch", "A gold pocket watch"
9, "Dzięki Panu, moje życie nabrało nowego sensu. Jak tylko mi się uda, spłacę dług.", "A bouquet of flowers", "A bouquet of flowers"
10, "Przepraszam, ale nie mogę tego zaakceptować. Moje sumienie mi na to nie pozwala.", "A velvet coat", "A velvet coat"
